Market,Code,Name,Type
SH,999999,,2
SH,999998,,2
SH,999997,,2
SH,000001,,2
SH,000002,,2
SH,000003,,2
SH,000004,,2
SH,000005,,2
SH,000006,,2
SH,000007,,2
SH,000008,,2
SH,000009,,2
SH,000010,,2
SH,000011,,2
SH,000012,,2
SH,000015,,2
SH,000016,,2
SH,000017,,2
SH,000018,,2
SH,000019,,2
SH,000020,,2
SH,000021,,2
SH,000022,,2
SH,000025,,2
SH,000026,,2
SH,000027,,2
SH,000028,,2
SH,000029,,2
SH,000030,,2
SH,000031,,2
SH,000032,,2
SH,000033,,2
SH,000034,,2
SH,000035,,2
SH,000036,,2
SH,000037,,2
SH,000038,,2
SH,000039,,2
SH,000040,,2
SH,000041,,2
SH,000042,,2
SH,000043,,2
SH,000044,,2
SH,000045,,2
SH,000046,,2
SH,000047,,2
SH,000048,,2
SH,000049,,2
SH,000050,,2
SH,000051,,2
SH,000052,,2
SH,000053,,2
SH,000054,,2
SH,000055,,2
SH,000056,,2
SH,000057,,2
SH,000058,,2
SH,000059,,2
SH,000060,,2
SH,000061,,2
SH,000062,,2
SH,000063,,2
SH,000064,,2
SH,000065,,2
SH,000066,,2
SH,000067,,2
SH,000068,,2
SH,000069,,2
SH,000070,,2
SH,000071,,2
SH,000072,,2
SH,000073,,2
SH,000074,,2
SH,000075,,2
SH,000076,,2
SH,000077,,2
SH,000078,,2
SH,000079,,2
SH,000090,,2
SH,000091,,2
SH,000092,,2
SH,000093,,2
SH,000094,,2
SH,000095,,2
SH,000096,,2
SH,000097,,2
SH,000098,,2
SH,000099,,2
SH,000100,,2
SH,000101,,2
SH,000102,,2
SH,000103,,2
SH,000104,,2
SH,000105,,2
SH,000106,,2
SH,000107,,2
SH,000108,,2
SH,000109,,2
SH,000110,,2
SH,000111,,2
SH,000112,,2
SH,000113,,2
SH,000114,,2
SH,000115,,2
SH,000116,,2
SH,000117,,2
SH,000118,,2
SH,000119,,2
SH,000120,,2
SH,000121,,2
SH,000122,,2
SH,000123,,2
SH,000125,,2
SH,000126,,2
SH,000128,,2
SH,000129,,2
SH,000130,,2
SH,000131,,2
SH,000132,,2
SH,000133,,2
SH,000134,,2
SH,000135,,2
SH,000136,,2
SH,000137,,2
SH,000138,,2
SH,000139,,2
SH,000141,,2
SH,000142,,2
SH,000145,,2
SH,000146,,2
SH,000147,,2
SH,000148,,2
SH,000149,,2
SH,000150,,2
SH,000151,,2
SH,000152,,2
SH,000153,,2
SH,000155,,2
SH,000158,,2
SH,000159,,2
SH,000160,,2
SH,000161,,2
SH,000162,,2
SH,000170,,2
SH,000300,,2
SH,000510,,2
SH,000680,,2
SH,000681,,2
SH,000682,,2
SH,000683,,2
SH,000685,,2
SH,000687,,2
SH,000688,,2
SH,000689,,2
SH,000690,,2
SH,000691,,2
SH,000692,,2
SH,000693,,2
SH,000695,,2
SH,000697,,2
SH,000698,,2
SH,000699,,2
SH,000802,,2
SH,000814,,2
SH,000819,,2
SH,000823,,2
SH,000827,,2
SH,000847,,2
SH,000849,,2
SH,000851,,2
SH,000852,,2
SH,000853,,2
SH,000854,,2
SH,000855,,2
SH,000856,,2
SH,000857,,2
SH,000858,,2
SH,000860,,2
SH,000863,,2
SH,000865,,2
SH,000867,,2
SH,000869,,2
SH,000888,,2
SH,000891,,2
SH,000901,,2
SH,000903,,2
SH,000905,,2
SH,000906,,2
SH,000913,,2
SH,000914,,2
SH,000928,,2
SH,000932,,2
SH,000933,,2
SH,000934,,2
SH,000935,,2
SH,000974,,2
SH,000982,,2
SH,000986,,2
SH,000987,,2
SH,000989,,2
SH,000991,,2
SH,000992,,2
